id,type,model,status,lost_by,date,nearest_location,geo,unit,tags
30483,Infantry fighting vehicles,BTR-82AT,Destroyed,Russia,2024-10-03,"Kremyanoe, Korenevo raion","51.3975315,35.1385193",,Turretless
30484,Infantry fighting vehicles,BMP-1(P),Destroyed,Russia,2024-11-23,"Vesele, Bakhmut raion","48.766631,38.150212",,"Turretless, Shattered"
30485,Anti-aircraft systems,9A310M1-2 TELAR (for 9K37M1-2 'Buk-M1-2'),Destroyed,Russia,2024-10-05,"Honcharivka, Svatove raion","49.48470,38.10215",,Turretless
30489,Infantry fighting vehicles,BMD-2,Destroyed,Russia,2024-10-05,"Veseloe, Glushkovo raion","51.29004,34.60499",VDV (Russian Airborne Forces),"Turretless, Shattered, Cope cage"
30490,Tanks,T-62M,Destroyed,Russia,2024-07-30,Kharkiv oblast,,,Z
30491,Anti-aircraft systems,9A317M TELAR (for 9K317M 'Buk-M3'),Damaged,Russia,2024-10-04,,,,"Cope cage, Loitering"
30492,Anti-aircraft systems,Launcher for 'Buk',Destroyed,Russia,2024-10-04,,,,
30493,Self-propelled artillery,152mm 2S5 'Giatsint-S',Destroyed,Russia,2024-10-04,"Dobrokhimovka, Bolshoe Soldatskoe raion","51.423694,35.389917",,
30495,Anti-aircraft systems,Ural-4320 with S-60 AA gun,Destroyed,Russia,2024-09-30,"Pokrovsk raion, Donetsk oblast",,,
30498,Infantry fighting vehicles,MT-LBVM(K),Destroyed,Russia,2024-09-30,Kursk oblast,,,Cope cage
30500,Tanks,T-72 *,Abandoned,Russia,2024-10-05,"Vesele, Bakhmut raion",,,Cope cage
30501,Infantry fighting vehicles,MT-LB,Abandoned,Russia,2024-09-30,"Vovchansk, Chuhuiv raion","50.292064,36.933208",69th (ex-138th Separate Motor Rifle Brigade) Guards Motor Rifle Division,Cope cage
30502,Drones,'Feniks' reconnaissance UAV,Destroyed,Russia,2024-10-06,Sumy oblast,,,
30504,Infantry fighting vehicles,BTR-82AT,Destroyed,Russia,2024-10-05,"Pokrovsk raion, Donetsk oblast",,,Cope cage
30507,Infantry fighting vehicles,MT-LB,Destroyed,Russia,2024-10-04,"Orlivka (Ocheretyne hromada), Pokrovsk raion","48.158266,37.647432",,
