id,type,model,status,date,front,oblast,raion,town,lat,lon,tags
2708,Towed artillery,152mm 2A65 'Msta-B' howitzer,Destroyed,2022-03-22,North Ukraine,Chernihiv oblast,Chernihiv raion,Yahidne,51.35319,31.279751,
2709,Towed artillery,152mm 2A65 'Msta-B' howitzer,Destroyed,2022-03-24,East Ukraine,,,,,,
2710,Towed artillery,152mm 2A65 'Msta-B' howitzer,Destroyed,2022-03-31,North Ukraine,Kyiv oblast,Brovary raion,Bervytsia,50.64331,31.14981,
2711,Towed artillery,152mm 2A65 'Msta-B' howitzer,Destroyed,2022-04-30,East Ukraine,,,,,,
2712,Towed artillery,152mm 2A65 'Msta-B' howitzer,Destroyed,2022-04-30,East Ukraine,,,,,,
2713,Transport,Unknown truck,Destroyed,2022-04-30,East Ukraine,,,,,,
2714,Towed artillery,152mm 2A65 'Msta-B' howitzer,Destroyed,2022-06-04,,,,,,,
2715,Towed artillery,152mm 2A65 'Msta-B' howitzer,Destroyed,2022-06-06,South Ukraine,Kherson oblast,Kherson raion,Myrne ,46.681485,32.213596,
2716,Towed artillery,152mm 2A65 'Msta-B' howitzer,Destroyed,2022-06-16,South Ukraine,Kherson oblast,Kherson raion,Doslidne,46.675388,32.217496,
2718,Towed artillery,152mm 2A65 'Msta-B' howitzer,Damaged,2022-03-24,East Ukraine,,,,,,
2719,Towed artillery,152mm 2A65 'Msta-B' howitzer,Damaged,2022-03-24,East Ukraine,,,,,,
2720,Towed artillery,152mm 2A65 'Msta-B' howitzer,Captured,2022-03-02,North Ukraine,Chernihiv oblast,Koriukivka raion,,,,-956
2721,Towed artillery,152mm 2A65 'Msta-B' howitzer,Captured,2022-03-17,North Ukraine,Chernihiv oblast,Nizhyn raion,Syndarevske,50.94558,32.05397,
2722,Towed artillery,152mm 2A65 'Msta-B' howitzer,Captured,2022-03-22,South Ukraine,Mykolaiv oblast,Bashtanka raion,Kashpero-Mykolaivka,,,-956
2723,Towed artillery,152mm 2A65 'Msta-B' howitzer,Captured,2022-03-27,East Ukraine,Kharkiv oblast,Izium raion,Husarivka ,49.364963,36.830374,
2724,Towed artillery,152mm 2A65 'Msta-B' howitzer,Captured,2022-04-03,North Ukraine,Chernihiv oblast,,,,,
2725,Towed artillery,152mm 2A65 'Msta-B' howitzer,Captured,2022-03-28,North Ukraine,Kyiv oblast,Bucha raion,Hostomel airport,50.59241,30.21147,-956
2726,Towed artillery,152mm 2A65 'Msta-B' howitzer,Captured,2022-03-28,North Ukraine,Kyiv oblast,Bucha raion,Hostomel airport,50.59213,30.20933,
2727,Towed artillery,152mm 2A65 'Msta-B' howitzer,Captured,2022-04-09,North Ukraine,Kyiv oblast,Brovary raion,,,,
2728,Towed artillery,152mm 2A65 'Msta-B' howitzer,Captured,2022-03-20,South Ukraine,Mykolaiv oblast,Bashtanka raion,Kashpero-Mykolaivka,,,
